ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,DOMINANCE
100,14,2,6,4
100,15,2,6,3.5
100,16,2,6,3.5
100,17,2,4.25,6
100,18,2,5.5,5.5
100,19,2,5.75,4.5
100,20,1,4.25,.214285714285714
101,1,1,4.5,4
101,2,1,5.75,7
101,3,1,5.25,6
101,4,1,4.75,5.5
101,5,1,5.5,6.5
101,6,1,5.5,6.5
101,7,1,6.25,7
101,8,1,6,6
101,9,1,6.75,7
101,10,2,5.5,.333333333333333
101,11,2,5,6
101,12,2,4.75,5
101,13,2,4,4
101,14,2,5.25,5
101,15,2,3,3
101,16,2,3,3
101,17,2,3.5,3.5
101,18,2,5.5,5
101,19,2,4,4
101,20,1,5.25,.30952380952381
104,1,1,3.25,3.5
104,2,1,4.75,2
104,3,1,5.5,7.5
104,4,1,5.25,3.5
104,5,1,5,6.5
104,6,1,5,6.5
104,7,1,5.25,7.5
104,8,1,4.75,6
104,9,1,4.75,7.5
104,10,2,6.25,.380952380952381
104,11,2,3.5,5.5
104,12,2,5.5,2.5
104,13,2,4.5,4.5
104,14,2,5.5,6.5
104,15,2,2.75,4.5
104,16,2,2.75,4.5
104,17,2,3.5,2
104,18,2,5.5,2.5
104,19,2,3,4
104,20,1,5.25,.166666666666667
105,1,1,5,6.5
105,2,1,8.25,8
105,3,1,7,6.5
105,4,1,6,6
105,5,1,5.5,7
105,6,1,5.5,7
105,7,1,4.25,3.5
105,8,1,4.25,1.5
105,9,1,5.75,6.5
105,10,2,3.5,.19047619047619
105,11,2,6,7
105,12,2,4.25,4
105,13,2,6.25,7
105,14,2,5.5,5
105,15,2,5,3.5
105,16,2,5,3.5
105,17,2,3.5,4
105,18,2,5.25,4
105,19,2,5.25,4.5
105,20,1,2.5,.142857142857143
106,1,1,4.5,4
106,2,1,5.75,6.5
106,3,1,5.25,5
106,4,1,5.5,3
106,5,1,4.5,5.5
106,6,1,4.5,5.5
106,7,1,4.5,7
106,8,1,4,4.5
106,9,1,4.75,7
106,10,2,4.75,.333333333333333
106,11,2,4.5,5
106,12,2,4.75,3
106,13,2,5,4
106,14,2,5,4.5
106,15,2,4.25,3.5
106,16,2,4.25,3.5
106,17,2,4,3
106,18,2,5.5,4
106,19,2,5.25,3.5
106,20,1,4,.238095238095238
109,1,1,6,6
109,2,1,5,5
109,3,1,4,5.5
109,4,1,5.75,5
109,5,1,6,6.5
109,6,1,6,6.5
109,7,1,4.5,6
109,8,1,5,4
109,9,1,4.25,5.5
109,10,2,4.75,.285714285714286
109,11,2,5.25,4.5
109,12,2,5.25,3
109,13,2,5.25,5.5
109,14,2,5.25,6.5
109,15,2,4.25,3.5
109,16,2,4.25,3.5
109,17,2,4.5,5.5
109,18,2,4.5,6
109,19,2,4.75,6.5
109,20,1,4.25,.19047619047619
113,1,1,5.25,6.5
113,2,1,4.75,6
113,3,1,6,7
113,4,1,5.75,9
113,5,1,5.75,8
113,6,1,5.75,8
113,7,1,4.75,8.5
113,8,1,4.5,7
113,9,1,4.75,7.5
113,10,2,4.75,.404761904761905
113,11,2,5.75,8
113,12,2,5.25,9
113,13,2,5.5,8
113,14,2,6,8.5
113,15,2,5.25,8
113,16,2,5.25,8
113,17,2,5,7
113,18,2,5,8
113,19,2,6.25,9
113,20,1,5.75,.404761904761905
116,1,1,4.5,5
116,2,1,4.75,6.5
116,3,1,4.5,6
116,4,1,5,6
116,5,1,5,6.5
116,6,1,5,6.5
116,7,1,5,6
116,8,1,4.75,6.5
116,9,1,4.25,4.5
116,10,2,4.5,.238095238095238
116,11,2,4.5,5
116,12,2,5,5
116,13,2,4.75,5
116,14,2,5,5.5
116,15,2,4.75,6
116,16,2,4.75,6
116,17,2,4.75,5.5
116,18,2,5.5,5.5
116,19,2,5.5,7
116,20,1,4.5,.285714285714286
117,1,1,4.5,5
117,2,1,3.25,5
117,3,1,5.5,6
117,4,1,4.75,3.5
117,5,1,4.75,3.5
117,6,1,4.75,3.5
117,7,1,4.75,3.5
117,8,1,6.5,4
117,9,1,4.5,7.5
117,10,2,6,.238095238095238
117,11,2,3.75,5.5
117,12,2,4.25,5
117,13,2,3.25,4.5
117,14,2,3.75,7
117,15,2,3.5,2.5
117,16,2,3.5,2.5
117,17,2,5.25,3.5
117,18,2,6,5
117,19,2,4.25,2.5
117,20,1,2.75,.333333333333333
118,1,1,6.5,7
118,2,1,7.25,7.5
118,3,1,7.75,6
118,4,1,8.5,7.5
118,5,1,7.25,7.5
118,6,1,7.25,7.5
118,7,1,7.75,4.5
118,8,1,7.25,7
118,9,1,7.5,6
