ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
102,4,1,5.75,5.5
102,5,1,5.75,6.5
102,6,1,5.75,6.5
102,7,1,5.25,7
102,8,1,5.5,6.5
102,9,1,5.25,7
102,10,2,5.25,.261904761904762
102,11,2,5.25,5.5
102,12,2,5,4
102,13,2,5.5,5
102,14,2,4.75,6.5
102,15,2,5.25,4.5
102,16,2,5.25,4.5
102,17,2,5.5,5
102,18,2,5.25,5
102,19,2,4.75,5
102,20,1,5.5,.285714285714286
107,1,1,4,5
107,2,1,5.75,4.5
107,3,1,6.5,4
107,4,1,5.75,2.5
107,5,1,6,4.5
107,6,1,6,4.5
107,7,1,5,7
107,8,1,5.5,6
107,9,1,6.5,6
107,10,2,5.5,.238095238095238
107,11,2,4,4.5
107,12,2,4.5,4
107,13,2,4.5,1.5
107,14,2,4.75,7
107,15,2,4.25,1
107,16,2,4.25,1
107,17,2,4.75,3.5
107,18,2,5.75,4
107,19,2,5,7
107,20,1,4.25,.285714285714286
112,1,1,5.75,4
112,2,1,5,5
112,3,1,4.75,4.5
112,4,1,5.25,4.5
112,5,1,5.25,4
112,6,1,5.25,4
112,7,1,5,6
112,8,1,4.75,5
112,9,1,5.25,4
112,10,2,4.5,.238095238095238
112,11,2,5,3
112,12,2,4.75,3
112,13,2,5.5,4
112,14,2,4.75,4.5
112,15,2,5.25,2.5
112,16,2,5.25,2.5
112,17,2,4.25,2.5
112,18,2,5,4
112,19,2,5,3.5
112,20,1,6.5,.214285714285714
5,1,1,5.5,6
5,2,1,6,3
5,3,1,8.25,5
5,4,1,7,7
5,5,1,6.75,7
5,6,1,6.75,7
5,7,1,4,5
5,8,1,7,7
5,9,1,5.5,8
5,10,2,3.5,.357142857142857
5,11,2,5,5
5,12,2,3.25,1
5,13,2,6.5,2
5,14,2,7.25,8.5
5,15,2,5.5,3
5,16,2,5.5,3
5,17,2,4.75,4
5,18,2,6,8
5,19,2,4,4.5
5,20,1,6,.285714285714286
30,1,1,4.75,5
30,2,1,4,3
30,3,1,4.75,4.5
30,4,1,6,5
30,5,1,6.5,6
30,6,1,6.5,6
30,7,1,5.25,4
30,8,1,6,6
30,9,1,6.5,6.5
30,10,2,6.5,.19047619047619
30,11,2,5.25,4.5
30,12,2,5.5,4
30,13,2,6,3.5
30,14,2,4.25,5.5
30,15,2,5.25,4.5
30,16,2,5.25,4.5
30,17,2,5.5,5.5
30,18,2,6.5,5
30,19,2,6,6
30,20,1,6.75,.238095238095238
36,1,1,5.75,5.5
36,2,1,5.5,5.5
36,3,1,5,6
36,4,1,6.25,4.5
36,5,1,6,4
36,6,1,6,4
36,7,1,4.25,6
36,8,1,5.25,5
36,9,1,6,6
36,10,2,5,.285714285714286
36,11,2,5,6
36,12,2,5.75,5.5
36,13,2,4.25,5.5
36,14,2,4.75,2.5
36,15,2,4.25,1
36,16,2,4.25,1
36,17,2,5.5,5.5
36,18,2,5.5,6
36,19,2,5.75,5
36,20,1,4.75,.261904761904762
39,1,1,6,4
39,2,1,2.75,5.5
39,3,1,7,7.5
39,4,1,5.75,5.5
39,5,1,5.75,6.5
39,6,1,5.75,6.5
39,7,1,5,8
39,8,1,4.5,7
39,9,1,4.75,7
39,10,2,3.5,.357142857142857
39,11,2,5.5,6
39,12,2,4.25,6.5
39,13,2,7.5,5.5
39,14,2,3.25,8
39,15,2,7,4
39,16,2,7,4
39,17,2,6,5.5
39,18,2,5.75,6.5
39,19,2,5.75,3.5
39,20,1,7.75,.333333333333333
45,1,1,4.75,4.5
45,2,1,5.75,5
45,3,1,5.25,3
45,4,1,5,3
45,5,1,4,4.5
45,6,1,4,4.5
45,7,1,4.75,3.5
45,8,1,5.5,4
45,9,1,6,4.5
45,10,2,5.75,.119047619047619
45,11,2,5.25,4
45,12,2,4.5,3.5
45,13,2,5.25,3
45,14,2,5.5,4.5
45,15,2,5.5,2.5
45,16,2,5.5,2.5
45,17,2,5.75,3
45,18,2,4,4.5
45,19,2,4.5,3.5
45,20,1,5,.214285714285714
47,1,1,5.25,4.5
47,2,1,6,7
47,3,1,6.5,6
47,4,1,6.5,7
47,5,1,7.5,5
47,6,1,7.5,5
47,7,1,4.75,3.5
47,8,1,5.5,4.5
47,9,1,4.5,3.5
47,10,2,5,.166666666666667
47,11,2,5.5,5
47,12,2,4.5,3
